RANK;ATHLETE;NATION;Bratislava A; Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Anadia A;Pretoria CHZ;Lobnya CHZ;Isla Margarita CHZ;Mer Morte CHM;TOTAL
1;FICHERA Marco;ITA;8.00;26.00;;32.00;;4.00;20.00;20.00;;39.00;;20.00;169.00
2;FAYEZ Ayman;EGY;8.00;2.00;;;2.00;;;32.00;48.00;;;65.00;157.00
3;GLAZKOV Nikita;RUS;26.00;4.00;;26.00;;;8.00;;;21.00;;50.00;135.00
4;SANTARELLI Andrea;ITA;2.00;20.00;;8.00;;8.00;14.00;20.00;;48.00;;5.00;125.00
5;VALLOSIO Andrea;ITA;0.00;20.00;;20.00;;32.00;4.00;26.00;;;;10.00;112.00
6;MARSH Philip;GBR;;;;0.00;;2.00;;;;6.00;;80.00;88.00
7;BOJTE Yusuf;TUR;0.00;2.00;32.00;0.00;14.00;2.00;4.00;2.00;;21.00;;0.00;77.00
8;POKORNY Richard;CZE;32.00;32.00;;;;;;;;6.00;;5.00;75.00
9;BINO Gabriele;ITA;4.00;14.00;;4.00;;14.00;4.00;;;30.00;;;70.00
10;FREILICH Yuval Shalom;ISR;;4.00;;2.00;;8.00;;;;21.00;;35.00;70.00
11;MAYA Sylvain;FRA;20.00;;;4.00;2.00;0.00;8.00;;;;;35.00;69.00
12;ANOKHIN Vadim;RUS;4.00;14.00;;20.00;4.00;;0.00;;;3.00;;20.00;65.00
13;FILE Matyas;HUN;2.00;;;2.00;;;20.00;;;3.00;;35.00;62.00
14;MAKIIENKO Ievgen;UKR;0.00;;;8.00;;2.00;8.00;;;6.00;;35.00;59.00
15;JERENT Daniel;FRA;14.00;;;8.00;4.00;8.00;4.00;;;;;20.00;58.00
16;LAHTINEN Alexander;FIN;0.00;2.00;;;;2.00;0.00;;;3.00;;50.00;57.00
17;FONSON Erwan;FRA;4.00;;;8.00;20.00;2.00;14.00;;;;;5.00;53.00
18;VON DER OSTEN Frederik;DEN;14.00;2.00;;0.00;;4.00;2.00;;;30.00;;0.00;52.00
19;KAULL James;USA;;14.00;;;;26.00;;;;;;10.00;50.00
20;DYACHENKO Vsevolod;UKR;20.00;;;0.00;;;14.00;;;6.00;;10.00;50.00
21;NIGGELER Michele;SUI;0.00;;;0.00;8.00;2.00;14.00;8.00;;12.00;;5.00;49.00
22;NICKEL Rolf;CHI;;;;;;;;;;;48.00;;48.00
23;BRUTTINI Lorenzo;ITA;4.00;4.00;;0.00;;0.00;32.00;;;6.00;;;46.00
24;KUCHALSKI Tim;GER;0.00;;;8.00;26.00;2.00;;;;;;10.00;46.00
25;SZWALBE Rafal;POL;4.00;2.00;;;4.00;4.00;0.00;;;12.00;;20.00;46.00
26;PINTO Santiago;COL;;;;;;;;4.00;;;39.00;0.00;43.00
27;RODRIGUEZ John Edison;COL;;;;;;;;;;;30.00;10.00;40.00
28;ESPOSITO Simone;ITA;8.00;2.00;;14.00;;14.00;2.00;;;;;;40.00
29;PETROV Roman;KGZ;14.00;14.00;;4.00;4.00;;4.00;;;;;;40.00
