RANK;ATHLETE;NATION;Luxembourg A;Bratislava A;Espoo Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Alger CHZ;Porec CHZ;Estado de Vargas CHZ;Moscow CHM;TOTAL
1;VON DER OSTEN Frederik;DEN;20.00;4.00;32.00;32.00;8.00;0.00;14.00;0.00;;48.00;;35.00;193.00
2;FICHERA Marco;ITA;;32.00;;;32.00;0.00;20.00;32.00;;6.00;;35.00;157.00
3;BIDA Sergey;RUS;;0.00;26.00;;4.00;32.00;;20.00;;6.00;;50.00;138.00
4;BERTA Daniel;HUN;32.00;0.00;;;2.00;14.00;;2.00;;12.00;;65.00;127.00
5;VALLOSIO Andrea;ITA;14.00;14.00;4.00;;4.00;0.00;8.00;26.00;;12.00;;5.00;87.00
6;PARK Sangyoung;KOR;;;;;;;;;;;;80.00;80.00
7;SANCHEZ RODRIGUEZ Guillermo;ESP;8.00;;8.00;;;;0.00;8.00;;6.00;;50.00;80.00
8;HAMAR Balazs;HUN;;26.00;;;4.00;;;8.00;;30.00;;10.00;78.00
9;ANOKHIN Vadim;RUS;;4.00;14.00;;4.00;14.00;;0.00;;39.00;;0.00;75.00
10;FREILICH Yuval Shalom;ISR;;4.00;8.00;;8.00;;8.00;;;30.00;;10.00;68.00
11;NIGGELER Michele;SUI;4.00;0.00;2.00;;26.00;4.00;2.00;2.00;;6.00;;20.00;66.00
12;GLAZKOV Nikita;RUS;;;;;0.00;20.00;;4.00;;21.00;;20.00;65.00
13;SANTARELLI Andrea;ITA;;2.00;;;14.00;0.00;;8.00;;6.00;;35.00;65.00
14;CLENIN Laurent;SUI;26.00;4.00;8.00;;14.00;2.00;2.00;0.00;;3.00;;5.00;64.00
15;BODOCZI Nikolaus;GER;14.00;4.00;;;4.00;2.00;20.00;4.00;;12.00;;0.00;60.00
16;IHAB Omar;EGY;;;;;;;;0.00;48.00;;;10.00;58.00
17;SCHMIDT Richard;GER;8.00;20.00;;;2.00;8.00;8.00;0.00;;6.00;;5.00;57.00
18;MELOCCHI Tomaso;ITA;20.00;0.00;8.00;;2.00;4.00;14.00;8.00;;;;;56.00
19;BOJTE Yusuf;TUR;4.00;14.00;0.00;8.00;20.00;4.00;;0.00;;6.00;;0.00;56.00
20;SOKOLOVSKI Vitali;BLR;14.00;0.00;14.00;8.00;;8.00;4.00;0.00;;3.00;;5.00;56.00
21;FERREIRA Nicolas;BRA;;;;;;0.00;0.00;0.00;;;48.00;5.00;53.00
22;TURNAU Peeter;EST;;14.00;8.00;;;;0.00;4.00;;6.00;;20.00;52.00
23;LOURENCO Vasco;POR;2.00;2.00;20.00;;;;2.00;0.00;;12.00;;10.00;48.00
