RANK;ATHLETE;NATION;Luxembourg A;Kuweit City A;Thessaloniki A;San Salvador A;Bratislava A;Bâle A;Riga A;Udine A;Toronto CHZ;Maribor CHZ;Alger CHZ;Abu Dhabi CHZ;Tashkent CHM;TOTAL
1;BANYAI Zsombor;HUN;20.00;;;;26.00;4.00;;;;39.00;;;65.00;154.00
2;PEREIRA Yulen;ESP;;32.00;0.00;;0.00;20.00;14.00;4.00;;21.00;;;50.00;141.00
3;BOUILLOT Hippolyte;FRA;;;;;2.00;8.00;14.00;;;12.00;;;80.00;116.00
4;VISMARA Federico;ITA;2.00;;32.00;;4.00;8.00;;26.00;;3.00;;;35.00;110.00
5;FREILICH Yuval Shalom;ISR;;;;;32.00;14.00;;4.00;;48.00;;;10.00;108.00
6;SYCH Yan;UKR;26.00;;2.00;;4.00;32.00;;8.00;;12.00;;;20.00;104.00
7;MAHRINGER Josef;AUT;32.00;8.00;14.00;;4.00;14.00;4.00;0.00;;6.00;;;10.00;92.00
8;BRUEV Georgiy;RUS;14.00;;;;8.00;4.00;4.00;32.00;;21.00;;;5.00;88.00
9;BAYARD Alexis;SUI;0.00;;4.00;;8.00;2.00;32.00;14.00;;6.00;;;20.00;86.00
10;DABIJA Adrian;ROU;0.00;;8.00;;20.00;4.00;;8.00;;0.00;;;35.00;75.00
11;SHARLAIMOV Vadim;KAZ;;;;;;0.00;0.00;;;;;48.00;20.00;68.00
12;PISKOVATSKOV Anton;USA;;;;;14.00;2.00;;0.00;39.00;;;;10.00;65.00
13;NAKAMURA Go;JPN;;20.00;;;;;;;;;;39.00;5.00;64.00
14;BERGAMINI Enrico;ITA;0.00;;26.00;;0.00;2.00;;8.00;;21.00;;;5.00;62.00
15;PITTET Alexandre;SUI;8.00;;20.00;;2.00;0.00;4.00;4.00;;3.00;;;20.00;61.00
16;DORIGO Clement;FRA;8.00;;;;0.00;8.00;20.00;;;3.00;;;20.00;59.00
17;SIKLOSI Gergely;HUN;4.00;;;;20.00;8.00;;14.00;;6.00;;;5.00;57.00
18;STANKEVYCH Volodymyr;UKR;2.00;;8.00;;4.00;2.00;;0.00;;30.00;;;10.00;56.00
19;NICHOLS Harrison;GBR;8.00;;0.00;;8.00;2.00;;;;3.00;;;35.00;56.00
20;BLAIS-BELANGER Marc-Antoine;CAN;;;;;;0.00;;;48.00;;;;5.00;53.00
21;PUCHACHER Lukas;AUT;2.00;8.00;2.00;26.00;0.00;0.00;2.00;2.00;;6.00;;;5.00;53.00
22;KANO Koki;JPN;;14.00;;;;2.00;;;;;;30.00;5.00;51.00
23;GIANNOTTE Flavio;LUX;2.00;;14.00;;0.00;0.00;4.00;0.00;;21.00;;;10.00;51.00
24;MOHSEN Mahmoud;EGY;;4.00;;;0.00;0.00;;2.00;;;39.00;;5.00;50.00
25;IBANEZ Alvaro;ESP;;20.00;;;2.00;4.00;;2.00;;12.00;;;10.00;50.00
26;XUE Yangdong;CHN;;;;;;;;;;;;;50.00;50.00
27;LOPEZ POURTIER Nelson;FRA;2.00;;;;2.00;14.00;20.00;;;6.00;;;5.00;49.00
28;ROGER Zacharie Herve;MAR;0.00;;;;;0.00;;;;;48.00;;0.00;48.00
29;RUBES Martin;CZE;0.00;;8.00;;14.00;8.00;4.00;2.00;;6.00;;;5.00;47.00
