RANK;ATHLETE;NATION;Manama A;Riga A;San Salvador A;Luxembourg A;Heraklion A;Udine A;Šabac A;Bâle A;Dubai CHZ;Lagos CHZ;Sochi CHZ;San-Jose CHZ;Verona CHM;TOTAL
1;JURKA Jakub;CZE;32.00;14.00;;26.00;32.00;32.00;20.00;;;;12.00;;20.00;188.00
2;DI VEROLI Davide;ITA;;26.00;;;8.00;2.00;14.00;;;;48.00;;65.00;163.00
3;MIDELTON Luidgi;FRA;;14.00;;4.00;1.00;4.00;26.00;8.00;;;6.00;;80.00;143.00
4;LOYOLA Neisser;BEL;14.00;2.00;;2.00;4.00;2.00;0.00;32.00;;;21.00;;35.00;112.00
5;KOCH Mate Tamas;HUN;;4.00;;;1.00;1.00;20.00;8.00;;;12.00;;50.00;96.00
6;CAMARGO Alexandre;BRA;;;32.00;;;1.00;4.00;;;;;48.00;10.00;95.00
7;NGUEFACK Lilian;FRA;;0.00;;8.00;4.00;8.00;8.00;1.00;;;12.00;;50.00;91.00
8;ANDRASFI Tibor;HUN;;32.00;;;8.00;26.00;4.00;2.00;;;6.00;;10.00;88.00
9;PISKOVATSKOV Jonathan;USA;;4.00;;;20.00;;4.00;;;;;39.00;20.00;87.00
10;PHILIPPE Arthur;FRA;;4.00;;20.00;8.00;4.00;14.00;2.00;;;30.00;;5.00;87.00
11;LIMAREV Ivan;RUS;;1.00;;1.00;14.00;2.00;4.00;26.00;;;3.00;;35.00;86.00
12;NAGY David;HUN;;8.00;;;26.00;8.00;2.00;;;;39.00;;2.50;85.50
13;SERTAY Yerlik;KAZ;8.00;0.00;;14.00;;;1.00;14.00;12.00;;;;35.00;84.00
14;GUZHIEV Egor;RUS;;4.00;;32.00;2.00;20.00;4.00;2.00;;;6.00;;2.50;72.50
15;LUBIENIECKI Wojciech;POL;;1.00;;14.00;8.00;;1.00;4.00;;;6.00;;35.00;69.00
16;DAGANI Elia;SUI;14.00;0.00;;1.00;14.00;2.00;4.00;2.00;;;6.00;;20.00;63.00
17;JORDAN Owen;GBR;26.00;2.00;26.00;2.00;;1.00;;1.00;;;;;2.50;60.50
18;JIN Minwook;KOR;;;;;;;;;39.00;;;;20.00;59.00
19;CUOMO Valerio;ITA;;8.00;;1.00;0.00;4.00;2.00;;;;21.00;;20.00;56.00
20;KOMATA Akira;JPN;;1.00;;;;;;14.00;30.00;;;;10.00;55.00
21;DEBNAR Gergely;HUN;;4.00;;;4.00;20.00;0.00;4.00;;;12.00;;10.00;54.00
22;ELSAYED Ahmed;EGY;;;;;;0.00;;;;48.00;;;5.00;53.00
23;GAETANI Giulio;ITA;20.00;0.00;;4.00;4.00;4.00;;20.00;;;;;;52.00
24;ANDRIYASHKIN Pavel;RUS;;20.00;;0.00;0.00;1.00;2.00;20.00;;;3.00;;5.00;51.00
25;KIM Myeongki;KOR;;;;;;;;;48.00;;;;2.50;50.50
26;PAOLINI Giacomo;ITA;;4.00;;4.00;1.00;8.00;1.00;;;;21.00;;10.00;49.00
27;GARCIA Eduardo;PER;;;8.00;;;;2.00;4.00;;;;30.00;2.50;46.50
28;BUZZACCHINO Gianpaolo;ITA;;1.00;;2.00;20.00;2.00;8.00;;;;3.00;;10.00;46.00
29;GEDZO Andzej;EST;;0.00;;1.00;14.00;2.00;1.00;14.00;;;3.00;;10.00;45.00
30;KOLANCZYK Wojciech;POL;;0.00;;4.00;4.00;14.00;2.00;4.00;;;6.00;;10.00;44.00
31;MURAYAMA Kentaro;JPN;;0.00;;;;;;8.00;30.00;;;;5.00;43.00
32;BLOMMAERT Felix;BEL;4.00;0.00;20.00;2.00;2.00;;0.00;2.00;;;3.00;;10.00;43.00
33;ESKOV Ruslan;EST;;2.00;;;4.00;;;4.00;;;21.00;;10.00;41.00
