RANK;ATHLETE;NATION;San Salvador A;Riga A;Luxembourg A;Heraklion A;Tokyo A;Manama A;Belgrade A;Bâle A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
1;DI VEROLI Davide;ITA;;;20.00;;;;20.00;;;30.00;;;65.00;135.00
2;PHILIPPE Arthur;FRA;;2.00;26.00;14.00;;;;1.00;;3.00;;;80.00;126.00
3;NAGY David;HUN;;14.00;;32.00;;;;20.00;;12.00;;;35.00;113.00
4;JURKA Jakub;CZE;;14.00;;4.00;;32.00;;32.00;;3.00;;;20.00;105.00
5;KOCH Mate Tamas;HUN;;8.00;;14.00;;;20.00;8.00;;48.00;;;2.50;100.50
6;CAMARGO Alexandre;BRA;32.00;;4.00;4.00;;20.00;;;;;39.00;;;99.00
7;BUZZACCHINO Gianpaolo;ITA;;;8.00;;;;8.00;14.00;;12.00;;;50.00;92.00
8;DE MOLA Daniel;ITA;;;32.00;8.00;;;32.00;2.00;;12.00;;;5.00;91.00
9;HASANOV Ruslan;AZE;;1.00;;2.00;;26.00;0.50;;;6.00;;;50.00;85.50
10;ANDRASFI Tibor;HUN;;14.00;;20.00;;;0.50;26.00;;12.00;;;5.00;77.50
11;EWART Stephen;USA;;32.00;;;;;2.00;;;;;;35.00;69.00
12;RUDYKH Daniil;RUS;;20.00;20.00;2.00;;;;0.00;;6.00;;;20.00;68.00
13;AN Taeyeong;KOR;;;;;;;;;;;;30.00;35.00;65.00
14;BENDE Bence;HUN;;26.00;;2.00;;;4.00;8.00;;21.00;;;2.50;63.50
15;NGUEFACK Lilian;FRA;;0.50;4.00;2.00;;;26.00;2.00;;6.00;;;20.00;60.50
16;JANG Minhyeok;KOR;;2.00;;;;;;;;;;48.00;10.00;60.00
17;TAKEI Ryusei;JPN;;0.25;;;20.00;;;;;;;39.00;0.63;59.88
18;LAZAROTO Fabrizio;BRA;20.00;;1.00;0.50;;8.00;1.00;0.00;;;21.00;;5.00;56.50
19;MICHALAK Damian;POL;;4.00;2.00;4.00;;;0.50;4.00;;21.00;;;20.00;55.50
20;RAMADAN Ibrahim;EGY;;;;4.00;;;;;48.00;;;;2.50;54.50
21;VINNITCHOUK Ted;CAN;;;2.00;;;;;;;;48.00;;2.50;52.50
22;ENGLISH Alexander;AUS;;;2.00;14.00;20.00;;;;;;;6.00;10.00;52.00
23;TAURIAINEN Topias;FIN;;2.00;14.00;1.00;;;2.00;;;30.00;;;2.50;51.50
24;BIRO Alexander;AUT;;1.00;2.00;1.00;;;2.00;;;39.00;;;5.00;50.00
25;GALPER Stanislav;ISR;;0.25;8.00;2.00;;;2.00;14.00;;3.00;;;20.00;49.25
26;PAVLOV Kiril;KAZ;;2.00;14.00;;;;8.00;1.00;;;;12.00;10.00;47.00
