1	10
2	2
3	7
4	4
5	6
6	11
7	3
8	51
9	22
10	23
11	70
12	9
13	16
14	13
15	20
16	49
1	1
2	69
3	119
4	104
5	15
6	41
7	31
8	26
9	18
10	14
11	2
12	10
13	73
14	57
15	86
16	30
1	1
2	148
3	16
4	2
5	78
6	14
7	7
8	111
9	12
10	4
11	9
12	27
13	32
14	51
15	107
16	93
1	3
2	7
3	15
4	10
5	109
6	20
7	14
8	39
9	142
10	58
11	130
12	31
13	5
14	13
15	128
16	180
1	192
2	32
3	26
4	15
5	51
6	187
7	2
8	37
9	18
10	10
11	9
12	77
13	1
14	35
15	182
16	127
1	27
2	1
3	2
4	8
5	7
6	17
7	45
8	56
9	3
10	12
11	54
12	33
13	43
14	19
15	74
16	20
1	2
2	7
3	3
4	1
5	4
6	5
7	40
8	23
9	21
10	27
11	17
12	114
13	36
14	139
15	78
16	125
1	7
2	31
3	10
4	18
5	44
6	27
7	110
8	1
9	2
10	38
11	33
12	68
13	90
14	52
15	133
16	144
1	73
2	2
3	16
4	26
5	51
6	21
7	184
8	151
9	25
10	1
11	40
12	87
13	45
14	41
15	183
16	174
1	1
2	19
3	14
4	40
5	27
6	2
7	5
8	64
9	6
10	44
11	8
12	48
13	72
14	126
15	65
16	135
1	1
2	25
3	2
4	71
5	33
6	29
7	12
8	34
9	39
10	55
11	41
12	5
13	6
14	23
15	10
16	37
1	4
2	19
3	39
4	10
5	21
6	7
7	14
8	103
9	3
10	18
11	22
12	31
13	20
14	24
15	8
16	51
1	1
2	8
3	58
4	49
5	3
6	20
7	22
8	27
9	37
10	16
11	5
12	12
13	140
14	38
15	9
16	26
1	1
2	26
3	43
4	4
5	9
6	53
7	35
8	141
9	13
10	6
11	66
12	57
13	37
14	48
15	85
16	47
1	4
2	3
3	88
4	47
5	1
6	43
7	29
8	57
9	30
10	10
11	6
12	36
13	34
14	33
15	20
16	90
1	10
2	6
3	1
4	49
5	5
6	106
7	11
8	66
9	85
10	8
11	80
12	25
13	23
14	31
15	64
16	35
1	10
2	17
3	13
4	7
5	24
6	15
7	45
8	20
9	74
10	22
11	25
12	116
13	14
14	83
15	2
16	51
1	20
2	36
3	19
4	59
5	43
6	3
7	13
8	7
9	55
10	51
11	9
12	103
13	1
14	10
15	29
16	24
1	1
2	7
3	23
4	8
5	60
6	5
7	16
8	10
9	6
10	64
11	69
12	58
13	59
14	17
15	2
16	13
1	2
2	31
3	49
4	1
5	58
6	68
7	38
8	95
9	11
10	47
11	23
12	4
13	42
14	78
15	43
16	104
1	7
2	5
3	55
4	45
5	22
6	21
7	17
8	2
9	3
10	40
11	11
12	8
13	52
14	15
15	35
16	51
1	2
2	56
3	16
4	62
5	23
6	4
7	38
8	14
9	32
10	1
11	9
12	7
13	22
14	176
15	96
16	39
1	3
2	47
3	6
4	8
5	75
6	25
7	36
8	38
9	59
10	27
11	5
12	39
13	45
14	49
15	4
16	18
1	8
2	30
3	36
4	42
5	1
6	6
7	19
8	106
9	81
10	40
11	69
12	35
13	104
14	2
15	28
16	5
1	18
2	16
3	1
4	25
5	4
6	5
7	6
8	21
9	7
10	102
11	15
12	60
13	24
14	53
15	10
16	79
1	85
2	37
3	11
4	79
5	1
6	3
7	49
8	63
9	2
10	17
11	43
12	30
13	73
14	64
15	145
16	66
1	2
2	1
3	11
4	38
5	9
6	29
7	20
8	26
9	95
10	30
11	37
12	16
13	3
14	63
15	23
16	71
1	2
2	6
3	12
4	28
5	43
6	1
7	61
8	146
9	16
10	147
11	7
12	41
13	17
14	145
15	35
16	71
1	35
2	12
3	23
4	45
5	10
6	3
7	7
8	111
9	24
10	4
11	30
12	1
13	56
14	22
15	73
16	47
1	15
2	14
3	13
4	19
5	1
6	16
7	55
8	33
9	38
10	10
11	18
12	5
13	78
14	35
15	8
16	21
1	11
2	7
3	61
4	75
5	59
6	1
7	26
8	15
9	70
10	9
11	8
12	41
13	39
14	2
15	144
16	13
1	31
2	35
3	15
4	1
5	158
6	16
7	86
8	7
9	25
10	4
11	5
12	8
13	119
14	21
15	51
16	24
1	1
2	4
3	14
4	52
5	5
6	39
7	37
8	34
9	20
10	9
11	7
12	33
13	25
14	16
15	27
16	69
1	12
2	2
3	57
4	22
5	7
6	15
7	29
8	4
9	25
10	20
11	102
12	43
13	1
14	165
15	106
16	63
1	15
2	5
3	11
4	13
5	55
6	145
7	31
8	99
9	14
10	92
11	2
12	46
13	27
14	7
15	141
16	28
1	6
2	62
3	11
4	10
5	1
6	43
7	26
8	24
9	4
10	2
11	5
12	17
13	59
14	38
15	15
16	29
1	6
2	32
3	55
4	14
5	51
6	2
7	11
8	27
9	1
10	13
11	127
12	10
13	16
14	50
15	23
16	33
1	7
2	13
3	5
4	3
5	44
6	2
7	4
8	12
9	75
10	28
11	20
12	110
13	12
14	16
15	17
16	89
1	3
2	2
3	4
4	24
5	1
6	14
7	83
8	95
9	5
10	7
11	20
12	19
13	10
14	62
15	31
16	23
1	6
2	15
3	41
4	104
5	9
6	5
7	58
8	7
9	4
10	51
11	30
12	24
13	38
14	96
15	79
16	180
1	5
2	4
3	3
4	1
5	42
6	6
7	50
8	7
9	8
10	73
11	75
12	38
13	9
14	19
15	78
16	124
1	14
2	38
3	28
4	31
5	11
6	8
7	58
8	10
9	3
10	6
11	36
12	2
13	15
14	75
15	48
16	45
1	5
2	33
3	4
4	7
5	11
6	16
7	70
8	56
9	9
10	3
11	12
12	117
13	62
14	169
15	14
16	109
1	7
2	3
3	91
4	11
5	1
6	17
7	46
8	59
9	87
10	19
11	25
12	132
13	8
14	78
15	63
16	33
1	1
2	4
3	15
4	23
5	30
6	52
7	42
8	65
9	28
10	51
11	24
12	33
13	27
14	60
15	53
16	59
1	3
2	8
3	51
4	57
5	41
6	30
7	38
8	67
9	26
10	14
11	76
12	32
13	35
14	11
15	43
16	87
1	2
2	12
3	20
4	34
5	5
6	7
7	58
8	14
9	26
10	49
11	15
12	81
13	45
14	56
15	48
16	23
1	2
2	8
3	4
4	1
5	11
6	24
7	5
8	48
9	3
10	7
11	40
12	19
13	12
14	6
15	66
16	32
