RANK;ATHLETE;NATION;San Salvador A;San-Juan A;Luxembourg A;Burgos A;Udine A;Maalot A;Bratislava A;Dijon A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
1;ISOLA Federica;ITA;;;32.00;;;;32.00;;;48.00;;;80.00;192.00
2;SOLDATOVA Anastasia;RUS;;;14.00;8.00;14.00;32.00;20.00;26.00;;21.00;;;20.00;155.00
3;ZHARKOVA Evgeniya;RUS;;;2.00;20.00;2.00;20.00;8.00;20.00;;39.00;;;35.00;146.00
4;CANDREVA Greta;USA;;26.00;2.00;;;;0.50;14.00;;;48.00;;50.00;140.50
5;LOIT Karoliine;EST;32.00;14.00;4.00;0.00;4.00;;14.00;2.00;;12.00;;;35.00;117.00
6;TRADITI Gaia;ITA;;;26.00;;2.00;;8.00;2.00;;6.00;;;65.00;109.00
7;CAGNIN Beatrice;ITA;;;8.00;4.00;32.00;;14.00;8.00;;3.00;;;35.00;104.00
8;BOZZA Alessandra;ITA;;;4.00;26.00;8.00;;20.00;20.00;;6.00;;;10.00;94.00
9;SAUMOVA Manana;RUS;;;14.00;1.00;8.00;8.00;2.00;8.00;;30.00;;;5.00;76.00
10;NIXON Caroline;USA;;32.00;4.00;;;;4.00;;;;30.00;;2.50;72.50
11;MURTAZAEVA Aizanat;RUS;;;4.00;2.00;26.00;26.00;2.00;2.00;;3.00;;;5.00;70.00
12;GNAM Tamara;HUN;;;;1.00;2.00;;2.00;32.00;;12.00;;;20.00;69.00
13;VERMEULE Emily;USA;;8.00;20.00;;;;4.00;;;;;;35.00;67.00
14;MUHARI Eszter;HUN;;;;14.00;4.00;;14.00;;;12.00;;;20.00;64.00
15;KIM Sieun;KOR;;;;;;;;;;;;12.00;50.00;62.00
16;HECHT Dar;ISR;;;2.00;1.00;2.00;14.00;26.00;;;6.00;;;10.00;61.00
17;CHORNIY Kateryna;UKR;;;;1.00;20.00;;14.00;4.00;;12.00;;;10.00;61.00
18;CONSTANTINO Lola;USA;;20.00;;;;;0.50;8.00;;;12.00;;20.00;60.50
19;SHI Yuexin;CHN;;;;;;;;;;;;48.00;10.00;58.00
20;SHEFFIELD Laura;GBR;;8.00;4.00;4.00;0.00;8.00;8.00;2.00;;21.00;;;2.50;57.50
21;DYNER Karina;CRC;26.00;2.00;;;;8.00;0.50;2.00;;;12.00;;5.00;55.50
22;VANRYSSEL Eloise;FRA;;;14.00;4.00;20.00;4.00;1.00;4.00;;3.00;;;5.00;55.00
23;KIM Chearin;KOR;;;;4.00;;;;;;;;39.00;10.00;53.00
24;MARTENSSON Elvira;SWE;;;;2.00;;14.00;2.00;;;30.00;;;5.00;53.00
25;FAVRE Angeline;SUI;;;20.00;1.00;4.00;;2.00;;;6.00;;;20.00;53.00
26;VIVEROS Montserrat;PAR;20.00;4.00;;1.00;;;;;;;21.00;;5.00;51.00
27;ZEBOUDJ Yousra;ALG;;;;;1.00;;;;48.00;;;;1.25;50.25
28;BUKI Lili;HUN;;;;2.00;14.00;;2.00;;;21.00;;;10.00;49.00
29;VIZEU Victoria;BRA;20.00;;;;4.00;;1.00;;;;21.00;;1.25;47.25
30;MAYA Danierys;VEN;;;;;;;1.00;2.00;;;39.00;;5.00;47.00
31;KOWALCZYK Sara Maria;ITA;;;2.00;32.00;4.00;;2.00;2.00;;;;;;42.00
32;LEONARD Ariane;CAN;;4.00;1.00;;;;2.00;;;;30.00;;5.00;42.00
33;BIELESZOVA Veronika;CZE;;;4.00;4.00;2.00;;2.00;4.00;;21.00;;;5.00;42.00
34;GAVRIELKO Nikol;ISR;;;4.00;8.00;4.00;8.00;0.50;4.00;;3.00;;;10.00;41.50
35;NARITA Ruka;JPN;;;;8.00;;;1.00;;;;;12.00;20.00;41.00
36;POWELL Alexandra;GBR;;20.00;1.00;2.00;1.00;;0.50;;;6.00;;;10.00;40.50
37;HUZAYEN Lma;EGY;;;;0.00;;;;;39.00;;;;;39.00
