RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Ponce CHZ;Budapest CHZ;Porec CHM;TOTAL
1;FICHERA Marco;ITA;26.00;26.00;;;26.00;32.00;;20.00;;39.00;35.00;204.00
2;SANTARELLI Andrea;ITA;32.00;32.00;;;2.00;8.00;;2.00;;48.00;50.00;174.00
3;BIDA Sergey;RUS;;20.00;32.00;;32.00;14.00;;32.00;;12.00;10.00;152.00
4;PEREIRA Yulen;ESP;;14.00;2.00;;;8.00;14.00;;;30.00;65.00;133.00
5;VON DER OSTEN Frederik;DEN;20.00;4.00;4.00;8.00;;;14.00;14.00;;3.00;35.00;102.00
6;BODOCZI Nikolaus;GER;;20.00;;;2.00;2.00;32.00;;;30.00;5.00;91.00
7;SUN Dongdong;CHN;;;;;;;;;;;80.00;80.00
8;LOPATENKO Andrii;UKR;;8.00;8.00;;4.00;14.00;;14.00;;6.00;20.00;74.00
9;BIABIANY Mathias;FRA;;0.00;;;;26.00;4.00;2.00;;21.00;20.00;73.00
10;ROBL Troels Christian;DEN;;4.00;0.00;14.00;2.00;;20.00;2.00;;6.00;20.00;68.00
11;ROD Max;POR;;8.00;0.00;32.00;2.00;2.00;2.00;4.00;;6.00;10.00;66.00
12;FREILICH Yuval Shalom;ISR;;14.00;20.00;;;;4.00;;;6.00;20.00;64.00
13;ANTKIEWICZ Mateusz;POL;;4.00;8.00;;;8.00;20.00;2.00;;12.00;10.00;64.00
14;CIMINI Gabriele;ITA;;0.00;14.00;;20.00;14.00;;2.00;;12.00;;62.00
15;ESPOSITO Simone;ITA;;2.00;14.00;;0.00;8.00;;8.00;;6.00;20.00;58.00
16;IVANOV Kirill;RUS;;2.00;20.00;;2.00;8.00;;4.00;;21.00;0.00;57.00
17;JIMENEZ ORTIZ Aaron Jose;VEN;14.00;;0.00;;0.00;2.00;;;39.00;;0.00;55.00
18;TURNAU Peeter;EST;;4.00;2.00;;;;0.00;26.00;;12.00;10.00;54.00
19;LOPEZ POURTIER Nelson;FRA;;0.00;;;;8.00;26.00;4.00;;6.00;10.00;54.00
20;BLAIS-BELANGER Marc-Antoine;CAN;;;4.00;;;;;;48.00;;0.00;52.00
21;BERTA Daniel;HUN;;0.00;4.00;;20.00;;;0.00;;6.00;20.00;50.00
22;MA Segeon;KOR;;;;;;;;;;;50.00;50.00
23;WENGLARCZYK Jan;POL;;0.00;4.00;;;2.00;8.00;14.00;;21.00;0.00;49.00
24;IBANEZ Alvaro;ESP;;0.00;;;;8.00;;;;3.00;35.00;46.00
25;BUZZI Lorenzo;ITA;;4.00;26.00;;14.00;;;0.00;;;;44.00
26;BANYAI Zsombor;HUN;;14.00;;;4.00;;;20.00;;3.00;0.00;41.00
27;DERYABIN Ivan;KAZ;;;;4.00;;;2.00;0.00;;;35.00;41.00
28;SVICHKAR Roman;UKR;;4.00;4.00;;4.00;;;0.00;;21.00;5.00;38.00
29;ELKORD Houssam;MAR;;4.00;;;;4.00;8.00;14.00;;6.00;;36.00
30;OBERSON Alexandre;SUI;;2.00;8.00;;4.00;4.00;2.00;8.00;;3.00;5.00;36.00
31;LOURENCO Vasco;POR;;2.00;2.00;26.00;;2.00;0.00;0.00;;3.00;;35.00
32;WEITBRECHT Moritz;GER;;14.00;;;2.00;2.00;0.00;;;12.00;5.00;35.00
33;LAMPERTZ Guillaume;BEL;;4.00;0.00;;2.00;4.00;2.00;;;12.00;10.00;34.00
34;CORRENTI Baptiste;FRA;;;;;;20.00;0.00;2.00;;6.00;5.00;33.00
35;MELARAGNO Guilherme;BRA;;;;;;2.00;0.00;;30.00;;;32.00
36;KARADENIZ Okan;TUR;;0.00;;20.00;;2.00;;4.00;;0.00;5.00;31.00
37;KORLATH Alexander;AUT;;0.00;0.00;;0.00;0.00;14.00;0.00;;12.00;5.00;31.00
38;RODRIGUEZ SUAREZ Ryan Aaron;MEX;;;;;;;;;30.00;;0.00;30.00
39;KUCHALSKI Tim;GER;;2.00;;;2.00;20.00;2.00;;;3.00;0.00;29.00
40;REGINSTER Gregoire;BEL;;2.00;;;;2.00;2.00;;;3.00;20.00;29.00
41;MELOCCHI Tomaso;ITA;;8.00;8.00;;8.00;4.00;;0.00;;;;28.00
42;KISS Gergo;HUN;;0.00;;;14.00;;;2.00;;6.00;5.00;27.00
43;TRUJILLO Erick;MEX;;;;;;;;;21.00;;5.00;26.00
44;ANDREANA Gianmarco;ITA;;0.00;4.00;;14.00;4.00;;4.00;;;;26.00
45;ASUAJE POLANCO Alexander;VEN;;;;;4.00;0.00;;;21.00;;0.00;25.00
46;DIAS Artur;POR;;0.00;0.00;8.00;;;4.00;0.00;;3.00;10.00;25.00
47;WEISS Lewis;USA;;8.00;4.00;;2.00;;0.00;;;;10.00;24.00
48;FRAS Felix;POL;;0.00;0.00;;;2.00;;8.00;;12.00;;22.00
49;ORELLAN Fernando;MEX;;;;;;;;;21.00;;0.00;21.00
50;IBARRA Dario;MEX;;;;;;;;;21.00;;;21.00
51;ALIYEV Kanan;AZE;;;;8.00;;;;;;3.00;10.00;21.00
52;GARZO Zsombor;HUN;;8.00;;;8.00;;;2.00;;3.00;;21.00
53;MEJIA GARCIA Cristian Edenilson;ESA;20.00;;;;;;;;0.00;;0.00;20.00
54;YOUSEFI Ali;IRI;;;;20.00;;;;;;;;20.00
55;HOUSE Alex;USA;;0.00;4.00;;2.00;;14.00;;;;0.00;20.00
56;GUSEV Dmitriy;RUS;;2.00;0.00;;8.00;2.00;;2.00;;6.00;;20.00
57;SYCH Yan;UKR;;0.00;0.00;;8.00;;;2.00;;0.00;10.00;20.00
58;YAMADA Masaru;JPN;;;;;;;;;;;20.00;20.00
59;SANCHEZ RODRIGUEZ Guillermo;ESP;;0.00;2.00;;;;4.00;8.00;;6.00;0.00;20.00
60;MELLANEN Rasmus;FIN;;0.00;2.00;;;4.00;4.00;2.00;;3.00;5.00;20.00
61;SWIRIDOW Anton;GER;;0.00;;;2.00;14.00;0.00;;;3.00;;19.00
62;SCALZO Giacomo;ITA;;0.00;14.00;;0.00;4.00;0.00;0.00;;;;18.00
63;HUDSON Jack;GBR;;0.00;;;0.00;;8.00;;;;10.00;18.00
64;JAUERNIK Christian;DEN;;4.00;0.00;4.00;;;4.00;;;6.00;0.00;18.00
65;DRIZIN Ariel;ISR;;2.00;;;;;2.00;;;3.00;10.00;17.00
66;MCGRATH Matthew Garrett;USA;;0.00;14.00;;;;2.00;;;;;16.00
67;RIDLEY Sam;GBR;;0.00;8.00;;;;2.00;;;6.00;0.00;16.00
68;DANILEJKO Maxim;GER;;0.00;;;2.00;2.00;4.00;8.00;;;;16.00
69;CHO TAEUN Sandor;HUN;;8.00;;;;;;8.00;;;;16.00
70;ANIL Murtaza Berkan;TUR;;0.00;;8.00;;0.00;;0.00;;3.00;5.00;16.00
71;MAJGIER Sebastian;POL;;0.00;0.00;;;0.00;4.00;4.00;;3.00;5.00;16.00
72;SHEPARD Conor;USA;;2.00;;;;;8.00;;;;5.00;15.00
73;TARANENKO Yuriy;UKR;;2.00;2.00;;4.00;0.00;0.00;4.00;;3.00;;15.00
74;STALDER Leonard;SUI;;0.00;0.00;;14.00;0.00;0.00;0.00;;;;14.00
