RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Guatemala CHZ;Jerusalem CHZ;Le Caire CHZ;Amman CHZ;Plovdiv CHM;TOTAL
1;PEREIRA Yulen;ESP;;26.00;;;14.00;32.00;26.00;2.00;;39.00;;;10.00;149.00
2;FREILICH Yuval Shalom;ISR;;8.00;4.00;;32.00;;8.00;;;48.00;;;35.00;135.00
3;YAMADA Masaru;JPN;;;;;4.00;;;;;;;48.00;80.00;132.00
4;BERTA Daniel;HUN;;14.00;;;14.00;8.00;;26.00;;12.00;;;50.00;124.00
5;CIMINI Gabriele;ITA;;14.00;20.00;;20.00;8.00;32.00;;;21.00;;;0.00;115.00
6;BANYAI Zsombor;HUN;;8.00;;;8.00;8.00;;32.00;;30.00;;;20.00;106.00
7;OBERSON Alexandre;SUI;;8.00;26.00;;4.00;20.00;4.00;14.00;;3.00;;;0.00;79.00
8;BLAIS-BELANGER Marc-Antoine;CAN;32.00;;;;2.00;2.00;;;30.00;;;;10.00;76.00
9;GUBIN Nikita;RUS;26.00;0.00;8.00;;2.00;0.00;;20.00;;6.00;;;10.00;72.00
10;CHO TAEUN Sandor;HUN;;32.00;;;26.00;0.00;;4.00;;6.00;;;0.00;68.00
11;SANCHEZ Cristian;VEN;;;;;;;;;48.00;;;;20.00;68.00
12;SRECKI Antoine;FRA;;0.00;;;4.00;2.00;14.00;;;12.00;;;35.00;67.00
13;YOO Justin;USA;;;;;8.00;;8.00;;;;;;50.00;66.00
14;JUNG Byeungchan;KOR;;;;;;;;;;;;;65.00;65.00
15;NEMTYREV Konstantin;RUS;;4.00;0.00;;14.00;26.00;;8.00;;6.00;;;5.00;63.00
16;HAMAR Balazs;HUN;;2.00;;;;14.00;;14.00;;30.00;;;;60.00
17;HO Wai Hang;HKG;;;;;;;;;;;;39.00;20.00;59.00
18;WEISS Lewis;USA;;14.00;8.00;;8.00;;20.00;;;;;;5.00;55.00
19;BUZZI Lorenzo;ITA;;20.00;4.00;;4.00;0.00;;;;6.00;;;20.00;54.00
20;ADAIKIN Dmitriy;KAZ;;;;;;;2.00;8.00;;;;21.00;20.00;51.00
21;LOPEZ POURTIER Nelson;FRA;;20.00;;;20.00;0.00;2.00;;;3.00;;;5.00;50.00
22;FRENCH Dylan;CAN;;;;;;2.00;;;12.00;;;;35.00;49.00
23;ADEL Abdelrahman;EGY;;0.00;;;;;;0.00;;;48.00;;0.00;48.00
24;PITTET Alexandre;SUI;;0.00;0.00;;14.00;0.00;4.00;0.00;;6.00;;;20.00;44.00
25;MAHRINGER Josef;AUT;;0.00;;26.00;;;;;;12.00;;;5.00;43.00
26;BELLMANN Lukas;GER;;8.00;;;0.00;14.00;14.00;;;0.00;;;5.00;41.00
27;TARANENKO Yuriy;UKR;;4.00;4.00;;4.00;;2.00;;;21.00;;;5.00;40.00
28;MALCOTTI Lucas;SUI;;4.00;4.00;;2.00;4.00;2.00;4.00;;0.00;;;20.00;40.00
29;MICKWITZ Valter;FIN;;0.00;32.00;;;0.00;2.00;2.00;;3.00;;;0.00;39.00
30;TRUJILLO Erick;MEX;;;;;;;;;39.00;;;;0.00;39.00
31;ABDELMALAK Daveed;EGY;;0.00;;;;;;0.00;;;39.00;;;39.00
32;BORISEVICH Yavgen;BLR;;0.00;;32.00;;;2.00;;;3.00;;;0.00;37.00
33;MOHSEN Mahmoud;EGY;;0.00;;;;;;2.00;;;30.00;;5.00;37.00
34;FARDZINOV Alan;RUS;;8.00;2.00;;0.00;8.00;;2.00;;12.00;;;5.00;37.00
