RANK;ATHLETE;NATION;Luxembourg A;Kuweit City A;Turku A;San Salvador A;Bratislava A;Bâle A;Riga A;Udine A;Dammam CHZ;Cancun CHZ;Novi Sad CHZ;Bamako CHZ;Bourges CHM;TOTAL
1;SIKLOSI Gergely;HUN;;;26.00;;4.00;8.00;;;;;48.00;;50.00;136.00
2;BANYAI Zsombor;HUN;;;14.00;;32.00;26.00;;;;;12.00;;50.00;134.00
3;BRUEV Georgiy;RUS;;14.00;4.00;;;2.00;14.00;8.00;;;12.00;;80.00;134.00
4;VISMARA Federico;ITA;8.00;;;;14.00;32.00;;26.00;;;21.00;;20.00;121.00
5;CUOMO Valerio;ITA;4.00;;1.00;;0.00;;;20.00;;;30.00;;65.00;120.00
6;MAHRINGER Josef;AUT;8.00;14.00;32.00;;0.00;8.00;2.00;;;;6.00;;20.00;90.00
7;ABDELMALAK Daveed;EGY;;26.00;;;2.00;0.00;8.00;1.00;;;;30.00;20.00;87.00
8;BAYARD Alexis;SUI;20.00;;8.00;;1.00;14.00;2.00;8.00;;;21.00;;5.00;79.00
9;RUBES Martin;CZE;20.00;;;;8.00;;;;;;39.00;;10.00;77.00
10;PATTERSON Luis Enrique;CUB;;;;32.00;;;;;;30.00;;;10.00;72.00
11;BRAUN Rico;GER;2.00;;;;26.00;14.00;4.00;8.00;;;6.00;;10.00;70.00
12;ELSOKKARY Ahmad;EGY;;14.00;;;1.00;2.00;;1.00;;;;48.00;0.00;66.00
13;SYCH Yan;UKR;32.00;;;;8.00;2.00;8.00;4.00;;;6.00;;5.00;65.00
14;ESZTERGALYOS Patrik;HUN;;;14.00;;20.00;20.00;;;;;6.00;;5.00;65.00
15;PUCHACHER Lukas;AUT;8.00;4.00;0.00;8.00;2.00;0.00;26.00;2.00;;;12.00;;2.50;64.50
16;PIANFETTI Andric;FRA;4.00;;;;2.00;4.00;20.00;0.00;;;12.00;;20.00;62.00
17;BIELEC Maciej;POL;2.00;;20.00;;2.00;0.00;;14.00;;;21.00;;2.50;61.50
18;KANO Koki;JPN;;;;;4.00;1.00;;;21.00;;;;35.00;61.00
19;RASSOLOV Alexey;RUS;;14.00;2.00;;1.00;4.00;32.00;1.00;;;6.00;;0.00;60.00
20;BAKOS Balint;HUN;;;1.00;;20.00;2.00;;0.00;;;1.50;;35.00;59.50
21;WANG Zijie;CHN;;;;;;;;;48.00;;;;10.00;58.00
22;CAMARGO Alexandre;BRA;;;;;;;;4.00;;48.00;;;5.00;57.00
23;GAVALDA Eugeni;ESP;2.00;8.00;;;0.00;;;14.00;;;21.00;;10.00;55.00
24;REBUS Gregory;FRA;1.00;;;;0.00;4.00;20.00;20.00;;;3.00;;5.00;53.00
25;PAULOUSKI Dzianis;BLR;;4.00;2.00;;1.00;0.00;4.00;;;;6.00;;35.00;52.00
26;DORIGO Clement;FRA;1.00;;;;2.00;8.00;14.00;1.00;;;6.00;;20.00;52.00
27;ADEL Abdelrahman;EGY;;20.00;;;1.00;2.00;;1.00;;;;21.00;5.00;50.00
28;ISLAS FLYGARE Linus;SWE;;;;;;1.00;;;;;12.00;;35.00;48.00
29;LERUS ROULEZ Hendrick;FRA;;;;;;2.00;8.00;32.00;;;3.00;;2.50;47.50
30;UNTERHAUSER Samuel;GER;2.00;;;;0.00;4.00;2.00;1.00;;;30.00;;5.00;44.00
31;KNYSH Oleg;RUS;;8.00;8.00;;14.00;2.00;2.00;2.00;;;3.00;;5.00;44.00
32;SERTAY Yerlik;KAZ;;;;;;0.00;;8.00;30.00;;;;5.00;43.00
33;STASZULONEK Bartosz;POL;14.00;;8.00;;0.00;0.00;;2.00;;;12.00;;5.00;41.00
34;MCDOWALD Curtis;USA;;;2.00;14.00;4.00;1.00;;;;;;;20.00;41.00
35;SIDOROVICH Yan;RUS;;32.00;1.00;;1.00;2.00;2.00;2.00;;;;;;40.00
36;DIAZ Jorge;MEX;;;;;;;;;;39.00;;;0.00;39.00
37;ASHOUR Mohamed;EGY;;;;;;;;;;;;39.00;;39.00
37;DU Jiaming;CHN;;;;;;;;;39.00;;;;;39.00
39;METRAILLER Clement;SUI;1.00;;0.00;;2.00;1.00;2.00;14.00;;;12.00;;5.00;37.00
40;TULEN Rafael;NED;14.00;;2.00;;0.00;14.00;;0.00;;;1.50;;5.00;36.50
41;ALLEGRE Paul;FRA;26.00;;;;0.00;2.00;4.00;4.00;;;;;;36.00
42;RISICATO Gabriele;ITA;4.00;;;;2.00;20.00;;4.00;;;6.00;;0.00;36.00
43;SHARLAIMOV Vadim;KAZ;;;;;;0.00;;;30.00;;;;5.00;35.00
44;GARCIA Eduardo;PER;;;;26.00;;;;;;6.00;;;0.00;32.00
45;LINNEMANN Christian Schack;DEN;2.00;2.00;1.00;;0.00;2.00;8.00;1.00;;;6.00;;10.00;32.00
46;MARCHUKOV Dmitrij;SUI;4.00;;4.00;;2.00;4.00;8.00;2.00;;;3.00;;5.00;32.00
47;FENYVESI Csaba;HUN;;;1.00;;8.00;8.00;;14.00;;;;;;31.00
48;HERNANDEZ Eduardo Nazareth;VEN;1.00;2.00;1.00;;0.00;0.00;1.00;0.00;;21.00;;;5.00;31.00
49;KOLANCZYK Wojciech;POL;8.00;;8.00;;4.00;1.00;;2.00;;;3.00;;5.00;31.00
50;SURANO Alvaro;ESP;;8.00;;;0.00;;;;;;3.00;;20.00;31.00
51;FABREGAT Angel;ESP;0.00;8.00;;;2.00;4.00;;4.00;;;3.00;;10.00;31.00
52;LIMARDO Jesus;VEN;1.00;2.00;0.00;;0.00;1.00;2.00;1.00;;21.00;;;2.50;30.50
53;BOGERT Alexander;USA;;;0.00;;;;;;;30.00;;;;30.00
54;ZAYER Wajdi;TUN;;;;;;;;;;;;30.00;;30.00
55;KONDRING Philipp;GER;1.00;;;;0.00;1.00;14.00;1.00;;;3.00;;10.00;30.00
56;MICHALAK Damian;POL;4.00;;8.00;;1.00;0.00;;4.00;;;3.00;;10.00;30.00
57;NICHOLS Harrison;GBR;4.00;;1.00;;8.00;4.00;;4.00;;;6.00;;2.50;29.50
58;DAGANI Elia;SUI;4.00;;4.00;;2.00;1.00;4.00;8.00;;;3.00;;2.50;28.50
59;DIKOV Plamen;BUL;;;4.00;14.00;0.00;;;2.00;;;3.00;;5.00;28.00
60;PAOLINI Giacomo;ITA;;;20.00;;;0.00;;4.00;;;3.00;;;27.00
61;ANDREU ALMANSA Marc;ESP;2.00;8.00;;;0.00;14.00;;0.00;;;3.00;;0.00;27.00
62;GORBONOS Dmitriy;RUS;;8.00;14.00;;0.00;1.00;2.00;2.00;;;;;;27.00
63;DIABATE Keletigui Julien;MLI;;;;;;1.00;;;;;;21.00;5.00;27.00
64;PAAVOLAINEN Jaakko;FIN;;;4.00;;4.00;0.00;2.00;;;;12.00;;5.00;27.00
65;MATKERIMOV Nazarbek;KGZ;;;;20.00;;;;;6.00;;;;;26.00
66;CANNONE Romain;FRA;14.00;;;;4.00;0.00;4.00;4.00;;;;;;26.00
67;YOO Justin;USA;4.00;;8.00;;4.00;0.00;;;;;;;10.00;26.00
68;AL ZAROONI Khalifa;UAE;;4.00;;;;;;;21.00;;;;0.00;25.00
69;POSLUSHAEV Danila;RUS;;;4.00;14.00;0.00;;0.00;1.00;;;3.00;;2.50;24.50
70;PREZIOSI Alessio;ITA;2.00;;0.00;;14.00;;;8.00;;;;;;24.00
71;ONO Masahide;JPN;;;;;0.00;2.00;;;12.00;;;;10.00;24.00
72;AVILA Carlos;MEX;;;;;;;;;;21.00;;;2.50;23.50
