RANK;ATHLETE;NATION;Luxembourg A;Manama A;Riga A;San Salvador A;Bratislava A;Bâle A;Espoo Helsinki A;Udine A;La Havane CHZ;Korat CHZ;Plovdiv CHZ;Yamoussoukro CHZ;Plovdiv CHM;TOTAL
1;CUOMO Valerio;ITA;;;32.00;;2.00;8.00;4.00;32.00;;;30.00;;65.00;173.00
2;MARTINI Cosimo;ITA;;;2.00;;8.00;8.00;26.00;14.00;;;21.00;;50.00;129.00
3;SIKLOSI Gergely;HUN;;;2.00;;32.00;32.00;;;;;1.50;;50.00;117.50
4;VISMARA Federico;ITA;;;1.00;;20.00;8.00;2.00;4.00;;;39.00;;35.00;109.00
5;JURKA Jakub;CZE;26.00;;4.00;;2.00;1.00;2.00;4.00;;;48.00;;20.00;107.00
6;BIELEC Maciej;POL;4.00;;14.00;;4.00;14.00;14.00;;;;21.00;;35.00;106.00
7;GUZHIEV Egor;RUS;;;4.00;;4.00;1.00;2.00;1.00;;;;;80.00;92.00
8;DABIJA Adrian;ROU;32.00;;2.00;;4.00;;;8.00;;;3.00;;35.00;84.00
9;ANDRASFI Tibor;HUN;;;8.00;;8.00;2.00;;26.00;;;1.50;;35.00;80.50
10;GARCIA Eduardo;PER;;;;32.00;;1.00;;2.00;30.00;;;;10.00;75.00
11;BRAUN Rico;GER;;;14.00;;4.00;20.00;1.00;;;;30.00;;5.00;74.00
12;DAGANI Elia;SUI;8.00;32.00;4.00;;2.00;0.00;2.00;8.00;;;6.00;;10.00;72.00
13;DORIGO Clement;FRA;20.00;;26.00;;8.00;2.00;0.00;2.00;;;6.00;;5.00;69.00
14;CANNONE Romain;FRA;2.00;;8.00;;14.00;1.00;20.00;2.00;;;12.00;;10.00;69.00
15;JOHNSON Wesley;USA;2.00;;1.00;;;8.00;1.00;;48.00;;;;5.00;65.00
16;KANO Koki;JPN;;;2.00;;;;32.00;2.00;;6.00;;;20.00;62.00
17;BONFERRONI Gabriel;SUI;8.00;26.00;8.00;;2.00;0.00;0.00;4.00;;;3.00;;10.00;61.00
18;MURAYAMA Kentaro;JPN;;;20.00;;;;14.00;;;21.00;;;5.00;60.00
19;BUZZACCHINO Gianpaolo;ITA;;;4.00;;14.00;8.00;4.00;20.00;;;6.00;;2.50;58.50
20;MAHRINGER Josef;AUT;;;14.00;;;20.00;2.00;;;;6.00;;10.00;52.00
21;BRUEV Georgiy;RUS;;;1.00;;2.00;4.00;20.00;14.00;;;6.00;;5.00;52.00
22;PREZIOSI Alessio;ITA;8.00;;8.00;;26.00;4.00;0.00;4.00;;;;;;50.00
23;KIMFORS Anton;SWE;;;;;14.00;2.00;2.00;;;;12.00;;20.00;50.00
24;WEBER Frederik;SUI;2.00;20.00;8.00;;0.00;2.00;4.00;2.00;;;6.00;;5.00;49.00
25;SAGNAN Bourama Keba;SEN;;;;;;;;;;;;48.00;;48.00
25;JEONG Jaewon;KOR;;;;;;;;;;48.00;;;;48.00
27;ABDELKADER Ahmed;EGY;;14.00;;;;;1.00;;;;;30.00;2.50;47.50
28;NAGY David;HUN;;;1.00;;2.00;26.00;;4.00;;;3.00;;10.00;46.00
29;KNYSH Oleg;RUS;;;2.00;;20.00;8.00;1.00;8.00;;;3.00;;0.00;42.00
30;LUBIENIECKI Wojciech;POL;2.00;;14.00;;0.00;1.00;8.00;;;;12.00;;5.00;42.00
31;PAOLINI Giacomo;ITA;20.00;;4.00;;8.00;2.00;4.00;2.00;;;;;;40.00
32;NGUEFACK Lilian;FRA;;;2.00;;2.00;2.00;14.00;4.00;;;6.00;;10.00;40.00
33;KOMATA Akira;JPN;;;2.00;;;;1.00;4.00;;30.00;;;2.50;39.50
34;JEONG Seyun;KOR;;;;;;;;;;39.00;;;;39.00
34;BESTER Christiaan;RSA;;;;;;;;;;;;39.00;;39.00
34;SUAREZ SANTIUSTE Yordano De La Caridad;CUB;;;;;;;;;39.00;;;;;39.00
37;KNUDSEN Kenneth;DEN;4.00;8.00;2.00;;2.00;14.00;1.00;0.00;;;3.00;;5.00;39.00
38;KOCH Mate Tamas;HUN;;;4.00;;4.00;2.00;;20.00;;;3.00;;5.00;38.00
39;ISLAS FLYGARE Linus;SWE;;;;;1.00;0.00;4.00;;;;12.00;;20.00;37.00
40;GALLY Aymerick;FRA;2.00;;1.00;;8.00;1.00;2.00;;;;3.00;;20.00;37.00
41;PONCIN Nicolas;BEL;0.00;8.00;1.00;;1.00;1.00;1.00;1.00;;;21.00;;2.50;36.50
42;SHINDLER Oliver;USA;4.00;;0.00;;;1.00;0.00;;30.00;;;;;35.00
43;PIZENBERG Jacob;ISR;;;0.00;;;1.00;8.00;;;;21.00;;2.50;32.50
44;MICHALAK Damian;POL;4.00;;0.00;;2.00;2.00;8.00;;;;6.00;;10.00;32.00
45;CAMARGO Alexandre;BRA;;;;;;;0.00;0.00;12.00;;;;20.00;32.00
46;LINNEMANN Christian Schack;DEN;8.00;8.00;1.00;;1.00;1.00;0.00;1.00;;;1.50;;10.00;31.50
47;GUSMAN Agustin Adolfo;ARG;;;;14.00;;;0.00;0.00;12.00;;;;5.00;31.00
48;STASZULONEK Bartosz;POL;14.00;;8.00;;4.00;1.00;1.00;;;;3.00;;0.00;31.00
49;LIM Ho;KOR;;;;;;;;;;30.00;;;;30.00
